index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName
162583,144991,1,Snapchat,,"['have', 'friend', 'doe', 'have', 'basket', 'not', 'see', 'egg', 'easter', 'event', 'be', 'way', 'fix']",2019-04-19,86593,I have a friend that doesnt have a basket and can't see any eggs for the Easter event. Is there any way to fix that,4,i have a friend that doe have a basket and can not see any egg for the easter event is there any way to fix that,MiniSoldier64 mini
162584,144992,1,Snapchat,,"['love', 'snap', 'chat', 'not', 'call', 'everyone_else', 'call', 'not', 'do', 'filter']",2019-04-19,86594,I love snap chat but I can't call but everyone else can call each other and I can't do filters,4,i love snap chat but i can not call but everyone else can call each other and i can not do filter,Tiera Slack
162585,144993,1,Snapchat,,"['not', 'stop', 'crash', 'not', 'even', 'open']",2019-04-19,86591,Wont stop crashing. Cant even open it.,5,will not stop crashing can not even open it,Elizabeth Eckenrode
162589,144997,1,Snapchat,,"['s', 'snapshot', 'day', 'impossible', 'use', 'have', 'continually', 'deinstall', 'use']",2019-04-18,86604,whats up with snapchat these days.... its impossible to use i have to continuasly reinstall it to use,1,whats up with snapshot these day its impossible to use i have to continually deinstall its to use,Nehal Bhargav
162595,145003,1,Snapchat,,"['sometimes', 'gd', 'sometimes', 'not']",2019-04-18,86614,sometimes gd somitimes not,5,sometimes gd sometimes not,Satya Deo Sharma
162598,145006,1,Snapchat,,"['quality', 'be', 'bad']",2019-04-18,86619,the quality is very bad,1,the quality is very bad,Adam Rybinski
162600,145008,1,Snapchat,,"['bitmoji', 'game', 'not', 'load', 'lie']",2019-04-18,86625,bitmoji games won't load and are too laggy,2,bitmoji game will not load and are too lay,Jordan Tibbs
162601,145009,1,Snapchat,,"['bad', 'application', 'have', 'ever', 'see', 'life']",2019-04-18,86632,Very bad app I have ever seen in my Life,1,very bad application i have ever seen in my life,sachin baluni
162607,145015,1,Snapchat,,"['not', 'able', 'share', 'meme', 'face', 'anymore', 'fix', 'soon_possible']",2019-04-18,86638,Not able to share memes from facebook anymore. Fix it ASAP!,1,not able to share meme from face-on anymore fix it a soon a possible,AMG
162625,145033,1,Snapchat,,"['update', 'be', 'snap', 'have', 'be', 'unable', 'open', 'doe', 'go', 'away', 'fix']",2019-04-20,86682,after an updated there been one snap ive been unable to open and it doesnt go away please fix,4,after an updated there been one snap i have been unable to open and it doe go away please fix,Cory selfe
