index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName
162614,145022,1,Snapchat,,"['lot', 'people', 'say', 'lot', 'people', 'rubbish', 'do', 'not', 'look', 'nice', 'normal', 'camera', 'really', 'help', 'not', 'text', 'normally', 'be', 'great', 'thing', 'be', 'have', 'picture', 'have', 'have', 'burnout', 'slot', 'people', 'realise', 'download', 'snapshot', 'also', 'have', 'download', 'bitmoji', 'have', 'profile', 'picture', 'be', 'great', 'bad', 'bit', 'not', 'use', 'bitmoji_sticker', 'have', 'not', 'connect', 'bitmoji_sticker', 'snapshot', 'delete', 'connect', 'bitmoji_sticker', 'snapshot']",2019-04-21,86652,a lot of people say its rubbish but if you don't look nice in normal camera it really helps and if u can't text normally it's great but the only thing is to have a picture u have to have a burnout but then slot of people realise that after that download snapchat so then that also have to download bitmoji to have a profile picture that's great but then the worse bit of you can't use u bitmoji stickers because you haven't connected it to your snapchat so then delete then connect it to snapchat.....,3,a lot of people say a lot of people rubbish but if you do not look nice in normal camera it really help and if you can not text normally it is great but the only thing is to have a picture you have to have a burnout but then slot of people realise that after that download snapshot so then that also have to download bitmoji to have a profile picture that is great but then the worse bit of you can not use you bitmoji sticker because you have not connected bitmoji sticker to your snapshot so then delete then connect bitmoji sticker to snapshot,Lisa 1
162617,145025,1,Snapchat,,"['not', 'send', 'gallery', 'picture', 'picture', 'aps', 'snapshot', 'anymore']",2019-04-21,86654,Can't sent gallery pictures or pictures from other apps to snapchat anymore.,2,can not sent gallery picture or picture from other aps to snapshot anymore,Matthew Jones
162618,145026,1,Snapchat,,"['fix', 'snapshot', 'time', 'send', 'story', 'story', 'be', 'always', 'error']",2019-04-21,86655,"please fix Snapchat, because every time I send a story it's always an error",2,please fix snapshot because every time i send a story a story is always an error,LUTHFI SAFARINA
162624,145032,1,Snapchat,,"['not', 'play', 'game', 'anymore', 'fix']",2019-04-21,86672,I cannot play the games anymore. Please fix it.,1,i can not play the game anymore please fix it,Nivedita Das Biswas
162656,145064,1,Snapchat,,"['use', 'love', 'application', 'update', 'application', 'lose', 'save', 'snap', 'not', 'happy', 'new', 'fun', 'thing', 'not', 'even', 'work', 'hunt', 'huge_disappointment', 'always', 'say', 'load']",2019-04-21,86749,"I use to love this app, I update the app and lose my saved snaps, NOT HAPPY about that. Then these new fun things won't even work. Easter egg hunt was a HUGE disappointment, always says loading... ☹☹☹",1,i use to love this application i update this application and lose my saved snap not happy about that then these new fun thing will not even work easter egg hunt was a huge disappointment always say loading,Tim Bourgoin
162659,145067,1,Snapchat,,"['lot', 'glitch', 'crash', 'galaxy']",2019-04-21,86754,Lots of glitches and crashes on Galaxy S10+,2,lot of glitch and crash on galaxy s,Brandon Nguyen
162661,145069,1,Snapchat,,"['give', 'star', 'try', 'sign', 'snap', 'would', 'not', 'work', 'liz', 'do', 'something']",2019-04-21,86756,i gave 1 star because im trying to sign up for snap chat and it would not work pliz do something,1,i gave star because i trying to sign up for snap chat and it would not work liz do something,Imelda Ravulo
162662,145070,1,Snapchat,,"['lot', 'bug', 'fix']",2019-04-21,86758,alot of bugs please fix em,4,a lot of bug please fix em,Hasan Farooq
162668,145076,1,Snapchat,,"['vid', 'fail', 'send', 'time']",2019-04-21,86768,Vids fail to send 50% of the time,3,vids fail to send of the time,Abukausar Muhammad
162669,145077,1,Snapchat,,"['camera', 'quality', 'be', 'low', 'application', 'be', 'lag']",2019-04-21,86769,camera quality is low and the app is lagging,1,camera quality is low and the application is lagging,Maureen Hack
