index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName
76324,58732,1,Snapchat,,"['not', 'save', 'complete', 'story', 'anymore', 'have', 'do', 'complete', 'story', 'video', 'time', 'may', 'well', 'delete', 'application', 'try', 'take', 'video', 'not', 'kid', 'concert', 'picture', 'blur', 'time', 'move', 'save', 'snap', 'do', 'not', 'go', 'camera_roll', 'new', 'update', 'suck', 'irritated', 'new', 'update']",2019-03-11,147388,"I can't save my complete story anymore, I have to do it one video at a time. Might as well delete the app. I tried to take video at my P!nk concert and the picture blurred each time I moved 🙄 Saved snaps don't go to my camera roll any more. The new update just sucks. I'm so irritated with it",1,i can not save my complete story anymore i have to do my complete story one video at a time might a well delete the application i tried to take video at my not kidding concert and the picture blurred each time i moved saved snap do not go to my camera roll any more the new update just suck i am so irritated with the new update,Precious Mangrum
76325,58733,1,Snapchat,,"['ever', 'update', 'snapshot', 'crash', 'love', 'game', 'have', 'play', 'husband', 'sister', 'day', 'soon', 'take', 'picture', 'be', 'turn', 'game', 'crash', 'lose', 'completely', 'have', 'uninstale', 'instal', 'close', 'completely', 'do', 'restart', 'phone', 'something', 'be', 'wrong', 'application']",2019-03-13,147389,"Ever since the update my snapchat crashes! I love the games they have, I play with my husband and sister every day. But now as soon as I take a picture after it's my turn the game crashes and I lose it completely. I've uninstalled and reinstalled, closed it completely when I'm done, restarted my phone. Something is wrong with the app. :(",4,ever since the update my snapshot crash i love the game they have i play with my husband and sister every day but now a soon a i take a picture after it is my turn the game crash and i lose it completely i have uninstaled and installed closed it completely when i am done restarted my phone something is wrong with the application,Sara Brown
76326,58734,1,Snapchat,,"['have', 'be', 'use', 'snapshot', 'seem', 'forever', 'recently', 'last', 'month', 'save', 'snap', 'go', 'gallery', 'pic', 'spend', 'orientation', 'photo', 'image', 'be', 'almost', 'picture', 'swirl', 'have', 'tried_uninstaling', 'instal', 'application', 'application', 'not', 'work', 'be', 'not', 'case', 'would', 'have', 'give', 'star']",2019-03-09,147390,I have been using snapchat for what seems forever now. recently in the last month when I save my snaps. and go to my gallery. the pics are spun(not the orientation of the photo but the image itself. it is almost as if the picture was swirled. I have tried uninstalling and reinstalling the app but it hasn't worked. if this wasnt the case I would have given 5 stars.,2,i have been using snapshot for what seems forever now recently in the last month when i save my snap and go to my gallery the pic are spent the orientation of the photo but the image itself it is almost a if the picture was swirled i have tried uninstaling and installing the application but the application has not worked if this wasnt the case i would have given star,Jennifer V
76329,58737,1,Snapchat,,"['galaxy', 'issue', 'camera', 'be', 'zoom', 'anyone', 'know', 'fix', 'let', 'know', 'snapshot', 'be', 'not', 'enjoyable', 'anymore']",2019-03-15,147394,"Galaxy S10 has an issue where the camera is zoomed in. If anyone knows how to fix, let me know. Snapchat is not enjoyable anymore.",3,galaxy s has an issue where the camera is zoomed in if anyone know how to fix let me know snapshot is not enjoyable anymore,Mike Jackson
76331,58739,1,Snapchat,,"['new', 'update', 'make', 'application', 'annoy', 'use', 'not', 'save', 'story', 'layout', 'doe', 'not', 'work', 'well', 'miss', 'feature', 'have', 'lose', 'sticker_pack', 'have', 'save', 'application', 'be', 'slow', 'application', 'be', 'not', 'smooth', 'use', 'previous_version']",2019-03-11,147395,"The new update makes the app annoying to use. You can't save your stories, the layout doesn't work well, missing some features and I've lost all the sticker packs I've saved. The app is slower now and it's not as smooth to use than the previous version.",1,the new update make the application annoying to use you can not save your story the layout doe not work well missing some feature and i have lost all the sticker pack i have saved the application is slower now and the application is not a smooth to use than the previous version,Alien of Chaos
76332,58740,1,Snapchat,,"['broken', 'distort', 'picture', 'fill', 'screen', 'program', 'year_ago', 'could', 'get', 'right', 'snapshot', 'broke', 'basic_functionality', 'clear', 'reason']",2019-03-11,147396,"Broken - distorts all pictures to fill the screen. Programs from 15 years ago could get this right, Snapchat broke basic functionality for no clear reason.",1,broken distorts all picture to fill the screen program from year ago could get this right snapshot broke basic functionality for no clear reason,Ofer Albanese
76335,58743,1,Snapchat,,"['terrible', 'be', 'not', 'user_friendly', 'application', 'doe', 'not', 'run', 'smooth', 'long', 'tag', 'username', 'picture', 'video', 'snap', 'code']",2019-03-09,147399,"Terrible UI which isn't user friendly. App doesn't run smooth, and you can no longer tag usernames on pictures, videos and snap codes.",1,terrible ui which is not user friendly application doe not run smooth and you can no longer tag username on picture video and snap code,The American Rogue
76336,58744,1,Snapchat,,"['not', 'find', 'friend', 'bitmoji', 'lose', 'save', 'sticker', 'not', 'even', 'save', 'sticker', 'promote', 'right', 'really', 'cute', 'really', 'sad', 'lose', 'instal', 'application', 'twice', 'fix']",2019-03-10,147400,I can't find my friend bitmoji any more and I lost all my saved stickers. I can't even save the stickers they're promoting right now which are really cute but I'm really sad I lost them. Reinstalled the app twice now. Please fix!!,3,i can not find my friend bitmoji any more and i lost all my saved sticker i can not even save the sticker they are promoting right now which are really cute but i am really sad i lost they installed the application twice now please fix,Laura Hughes
76337,58745,1,Snapchat,,"['update', 'ruin', 'application', 'not', 'view', 'see', 'friend', 'have', 'see', 'post', 'fix', 'give', 'option', 'use', 'older_version', 'application']",2019-03-10,147401,"Update ruined the app for me. I can't view my posts, or see which of my friends have seen it. Please fix it or give us the option to use an older version of the app.",1,update ruined the application for me i can not view my post or see which of my friend have seen my post please fix my post or give u the option to use an older version of the application,
76340,58748,1,Snapchat,,"['billion_dollar', 'company', 'not', 'fix', 'lag', 'issue', 's', 'cool', 'update', 'good', 'dec', 'yup', 'update', 'still', 'suck', 'march']",2019-03-10,147405,7 and a 1/2 billion dollar company but cant fix lagging issues. thats cool. your updates are no good. (dec of 2018) yup update still sucks. (march 2018),1,and a billion dollar company but can not fix lagging issue thats cool your update are no good dec of yup update still suck march,Texas Bass Hunter
76342,58750,1,Snapchat,,"['last', 'update', 'be', 'not', 'good', 'not', 'control', 'line', 'size', 'choice', 'put', 'text', 'rightleft', 'middle', 'be', 'unavailable']",2019-03-09,147407,"the last update is not good. i cant control the line size , and the choice to put the text on the right,left or on the middle is unavailable",2,the last update is not good i can not control the line size and the choice to put the text on the rightleft or on the middle is unavailable,
76345,58753,1,Snapchat,,"['credit', 'be', 'due', 'new', 'update', 'remove', 'lag', 'click', 'capture', 'button', 'photo', 'take', 'application', 'also', 'respond', 'better', 'wife', 'do', 'not', 'have', 'refresh', 'wife', 'send', 'message', 'notification', 'still', 'little', 'hit', 'miss', 'lot', 'better']",2019-03-10,147410,Credit were it's due. The new update has removed the lag between clicking the capture button and a photo taking. The app also responds better to my wifi now so I don't have to refresh the wifi to send a message anymore. Notifications can still be a little hit or miss but a lot better!,4,credit were it is due the new update has removed the lag between clicking the capture button and a photo taking the application also responds better to my wife now so i do not have to refresh the wife to send a message anymore notification can still be a little hit or miss but a lot better,james wilson
76346,58754,1,Snapchat,,"['use', 'love', 'application', 'update', 'get', 'samsung', 'make', 'update', 'slow', 'take_forever', 'load', 'send', 'message', 'save', 'message', 'switching', 'application', 'be', 'fix']",2019-03-11,147412,"I use to love the app... but the update I just got for my samsung makes it SOOO slow. it takes forever to load chats, send messages, and save messages. I'll be switching off the app till this is fixed.",1,i use to love the application but the update i just got for my samsung make the update so slow it take forever to load chat send message and save message i will be switching off the application till this is fixed,Vanessa Arnold
76348,58756,1,Snapchat,,"['new', 'change', 'uncool', 'do', 'pic', 'different', 'size', 'screen', 'get', 'stretch', 'distort', 'not', 'zoom', 'crop', 'also', 'better', 'could', 'see', 'view', 'story', 'watch', 'story', 'tap', 'icon', 'instead', 'have', 'go', 'friendship', 'first']",2019-03-11,147413,"The new changes are uncool. Why do pics that are a different size to my screen now get stretched and distorted? Why can't I zoom and crop like before? Also, it was better when I could see who viewed my story, and watch their story with one tap on their icon, instead of having to go into the friendship first.",3,the new change are uncool why do pic that are a different size to my screen now get stretched and distorted why can not i zoom and crop like before also it was better when i could see who viewed my story and watch their story with one tap on their icon instead of having to go into the friendship first,Richard Shumack
76349,58757,1,Snapchat,,"['give', 'opinion', 'save', 'thing', 'memory', 'want', 'look', 'opinion', 'save', 'thing', 'memory', 'half', 'opinion', 'save', 'thing', 'memory', 'not', 'load', 'snap', 'filter', 'have', 'glitch', 'work', 'matter', 'select', 'do', 'not', 'understand', 'half', 'time', 'do', 'not', 'get', 'notification', 'do', 'crash', 'self', 'shut', 'self']",2019-03-10,147414,you give me the opinion to save things to memories but when I want to look at it half of it won't load. snap filters have glitched and only one works no matter what one I selected I don't understand and half the time I don't get my notifications that I should do and it can crash by its self and shut itself down,3,you give me the opinion to save thing to memory but when i want to look at the opinion to save thing to memory half of the opinion to save thing to memory will not load snap filter have glitch and only one work no matter what one i selected i do not understand and half the time i do not get my notification that i should do and it can crash by it self and shut its self down,Foxfire ninger
76353,58761,1,Snapchat,,"['recent', 'update', 'do', 'not', 'get', 'memory', 'anymore', 'want', 'back']",2019-03-16,147418,since the most recent update i dont get my memories anymore. I WANT THEM BACK,1,since the most recent update i do not get my memory anymore i want them back,Timothea Kakouris
76354,58762,1,Snapchat,,"['guy', 'snap', 'download', 'yesterday', 'update', 'not', 'take', 'photo', 'video', 'tit', 'be', 'say', 'snap', 'be', 'not', 'respond', 'come']",2019-03-13,147419,guys I no more like snap chat I downloaded it yesturday and it updated on its own now I can't take a photo or a video on it....it is saying that snap chat is not responding and its coming out,1,guy i no more like snap chat i downloaded it yesterday and it updated on it own now i can not take a photo or a video on tit is saying that snap chat is not responding and it coming out,TERRIELLE RUVELLE
76355,58763,1,Snapchat,,"['problem', 'recent', 'update', 'play', 'game', 'take', 'photo', 'problem', 'recent', 'update', 'shut']",2019-03-12,147420,"Problem with recent update. I can play games, but after taking the photo it shuts down. 😒",1,problem with recent update i can play game but after taking the photo problem with recent update shuts down,Amy Boyles
76356,58764,1,Snapchat,,"['disappointed', 'voice', 'video', 'message', 'not', 'work', 'not', 'be', 'something', 'need', 'do']",2019-03-13,147421,very disappointed voice and video message will not work and hasn't been something needs to be done,2,very disappointed voice and video message will not work and has not been something need to be done,
76363,58771,1,Snapchat,,"['new', 'update', 'be', 'horrible', 'fix', 'problem', 'not', 'reply', 'story', 'not', 'save', 'anything', 'camera_roll']",2019-03-13,147428,the new update is horrible please fix this problem I can't reply at stories and I can't save anything to camera roll,1,the new update is horrible please fix this problem i can not reply at story and i can not save anything to camera roll,
76365,58773,1,Snapchat,,"['new', 'update', 'make', 'snc', 'slow', 'lag', 'lot', 'message', 'people']",2019-03-10,147432,this new update has made my snc very slow and lags alot while messaging people,3,this new update has made my snc very slow and lag a lot while messaging people,Jack Potter
76366,58774,1,Snapchat,,"['application', 'be', 'total', 'trash', 'revert', 'change', 'fix', 'every_single', 'damn', 'bug']",2019-03-09,147433,The app is total trash now please revert the changes or fix every single damn bug,1,the application is total trash now please revert the change or fix every single damn bug,nikhil tummala
76369,58777,1,Snapchat,,"['love', 'snapshot', 'update', 'be', 'absolutely', 'horrible', 'update', 'slow', 'lag', 'consistently']",2019-03-11,147436,i love SnapChat but your update is absolutely horrible. it has slowed down and lags consistently.,3,i love snapshot but your update is absolutely horrible your update has slowed down and lag consistently,
