index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName
159822,142230,1,Snapchat,,"['new', 'update', 'suck', 'bad', 'front_facing', 'camera', 'work', 'fine', 'filter', 'run', 'fine', 'updated', 'application', 'front_face', 'camera', 'doe', 'not', 'even', 'focus', 'properly', 'picture', 'come', 'saturate', 'terrible', 'general', 'fix', 'application', 'pronto']",2019-04-09,97053,"This new update sucks so bad, front facing camera was working fine and the filters were running fine too, until I updated the app and now the front facing camera doesn't even focus properly and pictures are coming out over saturated and just terrible in general, fix your app, pronto.",1,this new update suck so bad front facing camera was working fine and the filter were running fine too until i updated the application and now the front facing camera doe not even focus properly and picture are coming out over saturated and just terrible in general fix your application pronto,Rifat Parvez
159823,142231,1,Snapchat,,"['be', 'always', 'be', 'easy', 'use', 'have', 'samsung_galaxy', 'front_camera', 'snap', 'be', 'way', 'zoomed', 'see', 'head', 'entire', 'screen', 'not', 'fit', 'anyone_else', 'entire', 'screen']",2019-04-08,97054,"it's always been easy to use. although now that I have a Samsung galaxy s10, the front camera for snap chat is way too zoomed in. At arms length, I can only see my head for the entire screen. I cant fit anyone else in it.",3,it is always been easy to use although now that i have a samsung galaxy s the front camera for snap chat is way too zoomed in at arm length i can only see my head for the entire screen i can not fit anyone else in the entire screen,K L
159824,142232,1,Snapchat,,"['ever', 'april', 'time', 'try', 'open', 'application', 'show', 'loading', 'screen', 'crash', 'not', 'even', 'get', 'application', 'report', 'issue']",2019-04-08,97055,"ever since april 2nd any time i try to open the app it shows the loading scren then crashes, i cant even get in to the app to report an issue",1,ever since april nd any time i try to open the application it show the loading screen then crash i can not even get in to the application to report an issue,Devin Gillim
159829,142237,1,Snapchat,,"['actually', 'bad', 'snapshot', 'update', 'ever', 'crash', 'constantly', 'bus', 'continuously', 'not', 'let', 'save', 'story', 'story', 'save', 'story', 'individual', 'memory', 'fix']",2019-04-10,97061,"actually the worst snapchat update ever. crashes constantly, bugges continuously, and wont let me save my stories as stories, saved them as individual memories. fix please.",1,actually the worst snapshot update ever crash constantly bus continuously and will not let me save my story a story saved my story a individual memory fix please,Lauren Harris
159830,142238,1,Snapchat,,"['need', 'scale', 'fit', 'nonstandard', 'screen', 'aspect_ratio', 'someone', 'put', 'content', 'edge', 'phone', 'screen', 'send', 'content', 'be', 'phone', 'screen', 'view', 'blackberry', 'ketone', 'android', 'also', 'inability', 'view', 'knapman', 'gps', 'set', 'set', 'device', 'location', 'permission', 'be', 'grant', 'enough', 'use', 'anything', 'be', 'info', 'goole', 'doe', 'not', 'need', 'use', 'marketing', 'purpose', 'poor', 'camera', 'qualityimage', 'compression']",2019-04-07,97063,"Need to scale down geofilters/content to fit non-standard screen aspect ratios. (If someone puts content at the edge of their iPhone screen when sending, the content is off the screen when viewing on my Blackberry KeyOne Android 7.1.1). Also, inability to view snapmap when GPS settings are set to ""Device Only"". Location permission is granted and that should be enough to use. Anything more is info Google doesn't need and used for marketing purposes. Poor camera quality/image compression.",2,need to scale down geofilterscontent to fit nonstandard screen aspect ratio if someone put content at the edge of their phone screen when sending the content is off their phone screen when viewing on my blackberry ketone android also inability to view knapman when gps setting are set to device only location permission is granted and that should be enough to use anything more is info goole doe not need and used for marketing purpose poor camera qualityimage compression,Adeline Bailey
159832,142240,1,Snapchat,,"['much', 'lag', 'android', 'version', 'currently', 'use', 'samsung', 'even', 'get', 'stick', 'second', 'try', 'open', 'story']",2019-04-11,97064,TOO MUCH LAG in the android version. I am currently using Samsung A50. Even gets stuck for a few seconds when I try to open my own story.,2,too much lag in the android version i am currently using samsung a even get stuck for a few second when i try to open my own story,Rabi Ahmad
159834,142242,1,Snapchat,,"['be', 'mess', 'little', 'snapshot', 'work', 'snapshot', 'great', 'use', 'snapshot', 'everyday', 'may', 'not', 'case', 'though', 'do', 'not', 'fix', 'little', 'problem']",2019-04-07,97066,my Snapchat is messing up a little but qhwn it works its great and i use it everyday. thst might not be the case though if they dont fix the little problem,3,my snapshot is messing up a little but when my snapshot work my snapshot great and i use my snapshot everyday that might not be the case though if they do not fix the little problem,Aabc Dee
159835,142243,1,Snapchat,,"['video', 'recording', 'super', 'not', 'watch', 'whole', 'store', 'whole', 'store', 'go', 'black', 'playing', 'audio', 'have', 'keep', 'back', 'story', 'watch', 'snap', 'time']",2019-04-08,97067,videos are recording in super low quality. cant watch my whole store without it going all black (just playing audio). I have to keep backing out of my story to watch 1 snap at a time.,1,video are recording in super low quality can not watch my whole store without my whole store going all black just playing audio i have to keep backing out of my story to watch snap at a time,Tiff Ortega
159837,142245,1,Snapchat,,"['snapshot', 'favourite', 'aps', 'longer', 'show', 'badge', 'notification', 'sound', 'doe', 'seem', 'right', 'have', 'uninstale', 'numerous', 'time', 'restart', 'phone', 'hope', 'work', 'properly', 'recently', 'today', 'sort', 'bug']",2019-04-07,97069,"Snapchat, which was one of my favourite apps, now no longer shows badges, uses notification sounds and just doesnt seem right. Ive uninstalled numerous times, restarting my phone, all in the hope it works properly. Most recently today. Please sort the bugs out.",2,snapshot which was one of my favourite aps now no longer show badge us notification sound and just doe seem right i have uninstaled numerous time restarting my phone all in the hope it work properly most recently today please sort the bug out,Andrea Crichton
159839,142247,1,Snapchat,,"['absolutely', 'break', 'pixel', 'constantly', 'freeze', 'crashing', 'update', 'have', 'make', 'bad', 'completely_unusable']",2019-04-07,97071,Absolutely broken in Pixel 3. Constantly freezing and crashing. The updates have made it worse. completely unusable..,1,absolutely broken in pixel constantly freezing and crashing the update have made it worse completely unusable,Nic Conroy
