tweets,tweets_distribution,reviews,reviews_dist,gsd_score
i hope this isnt me commenting on everyone is snapchat story i just like to support my follower here a song for you bug a boo htown screwed mix by destiny is child,"[0.029265873015873013, 0.02232142857142857, 0.02232142857142857, 0.031001984126984124, 0.02232142857142857, 0.025793650793650796, 0.02232142857142857, 0.036210317460317464, 0.02232142857142857, 0.037946428571428575, 0.02232142857142857, 0.02405753968253968, 0.024057539682539684, 0.025793650793650796, 0.03968253968253969, 0.03447420634920635, 0.02926587301587302, 0.037946428571428575, 0.02232142857142857, 0.02405753968253968, 0.02232142857142857, 0.036210317460317464, 0.02232142857142857, 0.03100198412698413, 0.037946428571428575, 0.050099206349206366, 0.024057539682539684, 0.036210317460317464, 0.025793650793650796, 0.02232142857142857, 0.02232142857142857, 0.02232142857142857, 0.031001984126984124, 0.03794642857142856, 0.02232142857142857]",front facing camera on samsung s is zoomed in,"[0.029609279609279622, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.040293040293040316, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.03815628815628818, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.03815628815628817, 0.02747252747252748, 0.02960927960927962, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748]",0.06721815363991804
i hope this isnt me commenting on everyone is snapchat story i just like to support my follower here a song for you bug a boo htown screwed mix by destiny is child,"[0.029265873015873013, 0.02232142857142857, 0.02232142857142857, 0.031001984126984124, 0.02232142857142857, 0.025793650793650796, 0.02232142857142857, 0.036210317460317464, 0.02232142857142857, 0.037946428571428575, 0.02232142857142857, 0.02405753968253968, 0.024057539682539684, 0.025793650793650796, 0.03968253968253969, 0.03447420634920635, 0.02926587301587302, 0.037946428571428575, 0.02232142857142857, 0.02405753968253968, 0.02232142857142857, 0.036210317460317464, 0.02232142857142857, 0.03100198412698413, 0.037946428571428575, 0.050099206349206366, 0.024057539682539684, 0.036210317460317464, 0.025793650793650796, 0.02232142857142857, 0.02232142857142857, 0.02232142857142857, 0.031001984126984124, 0.03794642857142856, 0.02232142857142857]",nothing but bug since update,"[0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.041629230308475595, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.037436358191075166, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.03114705001497454, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122]",0.0723434098170823
i hope this isnt me commenting on everyone is snapchat story i just like to support my follower here a song for you bug a boo htown screwed mix by destiny is child,"[0.029265873015873013, 0.02232142857142857, 0.02232142857142857, 0.031001984126984124, 0.02232142857142857, 0.025793650793650796, 0.02232142857142857, 0.036210317460317464, 0.02232142857142857, 0.037946428571428575, 0.02232142857142857, 0.02405753968253968, 0.024057539682539684, 0.025793650793650796, 0.03968253968253969, 0.03447420634920635, 0.02926587301587302, 0.037946428571428575, 0.02232142857142857, 0.02405753968253968, 0.02232142857142857, 0.036210317460317464, 0.02232142857142857, 0.03100198412698413, 0.037946428571428575, 0.050099206349206366, 0.024057539682539684, 0.036210317460317464, 0.025793650793650796, 0.02232142857142857, 0.02232142857142857, 0.02232142857142857, 0.031001984126984124, 0.03794642857142856, 0.02232142857142857]",s front camera zoomed in please fix,"[0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.03533992213237496, 0.026954177897574122, 0.039532794249775384, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.03533992213237497, 0.03533992213237497, 0.031147050014974545, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.03324348607367475, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122]",0.07457701890385189
i hope this isnt me commenting on everyone is snapchat story i just like to support my follower here a song for you bug a boo htown screwed mix by destiny is child,"[0.029265873015873013, 0.02232142857142857, 0.02232142857142857, 0.031001984126984124, 0.02232142857142857, 0.025793650793650796, 0.02232142857142857, 0.036210317460317464, 0.02232142857142857, 0.037946428571428575, 0.02232142857142857, 0.02405753968253968, 0.024057539682539684, 0.025793650793650796, 0.03968253968253969, 0.03447420634920635, 0.02926587301587302, 0.037946428571428575, 0.02232142857142857, 0.02405753968253968, 0.02232142857142857, 0.036210317460317464, 0.02232142857142857, 0.03100198412698413, 0.037946428571428575, 0.050099206349206366, 0.024057539682539684, 0.036210317460317464, 0.025793650793650796, 0.02232142857142857, 0.02232142857142857, 0.02232142857142857, 0.031001984126984124, 0.03794642857142856, 0.02232142857142857]",the main camera is very p-please fix this issue soon,"[0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.04497354497354496, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.032627865961199286, 0.026455026455026443, 0.03468547912992356, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.03880070546737212, 0.026455026455026443, 0.02851263962375072, 0.026455026455026443, 0.03880070546737212, 0.026455026455026443, 0.026455026455026443, 0.032627865961199286, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.034685479129923556, 0.026455026455026443]",0.07773299857883836
i hope this isnt me commenting on everyone is snapchat story i just like to support my follower here a song for you bug a boo htown screwed mix by destiny is child,"[0.029265873015873013, 0.02232142857142857, 0.02232142857142857, 0.031001984126984124, 0.02232142857142857, 0.025793650793650796, 0.02232142857142857, 0.036210317460317464, 0.02232142857142857, 0.037946428571428575, 0.02232142857142857, 0.02405753968253968, 0.024057539682539684, 0.025793650793650796, 0.03968253968253969, 0.03447420634920635, 0.02926587301587302, 0.037946428571428575, 0.02232142857142857, 0.02405753968253968, 0.02232142857142857, 0.036210317460317464, 0.02232142857142857, 0.03100198412698413, 0.037946428571428575, 0.050099206349206366, 0.024057539682539684, 0.036210317460317464, 0.025793650793650796, 0.02232142857142857, 0.02232142857142857, 0.02232142857142857, 0.031001984126984124, 0.03794642857142856, 0.02232142857142857]",camera is way too zoomed in for the samsung galaxy s please fix this,"[0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.04291593180482067, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.028512639623750717, 0.028512639623750724, 0.028512639623750717, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.047031158142269235, 0.034685479129923556, 0.02645502645502644, 0.028512639623750724, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.03468547912992356, 0.02645502645502644, 0.02645502645502644, 0.03880070546737212, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644]",0.07941385215536854
those are fine step to take but actually logging out accomplishes a different switch that those step do not accomplish give that a try and reach back out if it doe not fix you up,"[0.023041474654377888, 0.04275473630312342, 0.03558627752176141, 0.04096262160778291, 0.028417818740399392, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.02483358934971839, 0.026625704045058894, 0.024833589349718393, 0.023041474654377888, 0.05350742447516643, 0.023041474654377888, 0.023041474654377888, 0.06784434203789046, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.04454685099846392, 0.023041474654377888, 0.0355862775217614, 0.023041474654377888, 0.023041474654377888, 0.028417818740399392, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.037378392217101895, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888]",snapshot should update the application so phone with more than camera at the back could use the wide angle etc etc,"[0.02380952380952381, 0.03862433862433863, 0.04047619047619048, 0.03862433862433863, 0.038624338624338624, 0.02380952380952381, 0.025661375661375666, 0.025661375661375663, 0.025661375661375663, 0.02380952380952381, 0.025661375661375663, 0.02380952380952381, 0.03677248677248678, 0.027513227513227514, 0.02380952380952381, 0.04417989417989419, 0.02380952380952381, 0.04232804232804233, 0.02380952380952381, 0.02380952380952381, 0.031216931216931223, 0.02380952380952381, 0.02380952380952381, 0.03492063492063492, 0.02380952380952381, 0.027513227513227514, 0.025661375661375663, 0.02380952380952381, 0.040476190476190464, 0.02380952380952381, 0.02380952380952381, 0.025661375661375666, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381]",0.08441684218232359
those are fine step to take but actually logging out accomplishes a different switch that those step do not accomplish give that a try and reach back out if it doe not fix you up,"[0.023041474654377888, 0.04275473630312342, 0.03558627752176141, 0.04096262160778291, 0.028417818740399392, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.02483358934971839, 0.026625704045058894, 0.024833589349718393, 0.023041474654377888, 0.05350742447516643, 0.023041474654377888, 0.023041474654377888, 0.06784434203789046, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.04454685099846392, 0.023041474654377888, 0.0355862775217614, 0.023041474654377888, 0.023041474654377888, 0.028417818740399392, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.037378392217101895, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888]",what is wrong with snapshot take hour or more to save in camera roll,"[0.025974025974025986, 0.02799422799422801, 0.025974025974025986, 0.044155844155844184, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.027994227994228005, 0.025974025974025986, 0.025974025974025986, 0.03405483405483407, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.060317460317460346, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.02799422799422801, 0.025974025974025986, 0.03809523809523812, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.03809523809523812, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986]",0.08683456942360403
those are fine step to take but actually logging out accomplishes a different switch that those step do not accomplish give that a try and reach back out if it doe not fix you up,"[0.023041474654377888, 0.04275473630312342, 0.03558627752176141, 0.04096262160778291, 0.028417818740399392, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.02483358934971839, 0.026625704045058894, 0.024833589349718393, 0.023041474654377888, 0.05350742447516643, 0.023041474654377888, 0.023041474654377888, 0.06784434203789046, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.04454685099846392, 0.023041474654377888, 0.0355862775217614, 0.023041474654377888, 0.023041474654377888, 0.028417818740399392, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.037378392217101895, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888]",where is face swap,"[0.02747252747252748, 0.02747252747252748, 0.029609279609279622, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.040293040293040316, 0.02747252747252748, 0.02747252747252748, 0.04670329670329673, 0.02960927960927962, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02960927960927962, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748]",0.08874104710096378
those are fine step to take but actually logging out accomplishes a different switch that those step do not accomplish give that a try and reach back out if it doe not fix you up,"[0.023041474654377888, 0.04275473630312342, 0.03558627752176141, 0.04096262160778291, 0.028417818740399392, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.02483358934971839, 0.026625704045058894, 0.024833589349718393, 0.023041474654377888, 0.05350742447516643, 0.023041474654377888, 0.023041474654377888, 0.06784434203789046, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.04454685099846392, 0.023041474654377888, 0.0355862775217614, 0.023041474654377888, 0.023041474654377888, 0.028417818740399392, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.037378392217101895, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888]",snapshot camera is too close to my face on the s fix please,"[0.025974025974025983, 0.025974025974025983, 0.04415584415584418, 0.04213564213564216, 0.025974025974025983, 0.02799422799422801, 0.025974025974025983, 0.025974025974025983, 0.04415584415584418, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.02799422799422801, 0.025974025974025983, 0.05829725829725834, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983]",0.09221737662316584
those are fine step to take but actually logging out accomplishes a different switch that those step do not accomplish give that a try and reach back out if it doe not fix you up,"[0.023041474654377888, 0.04275473630312342, 0.03558627752176141, 0.04096262160778291, 0.028417818740399392, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.02483358934971839, 0.026625704045058894, 0.024833589349718393, 0.023041474654377888, 0.05350742447516643, 0.023041474654377888, 0.023041474654377888, 0.06784434203789046, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.04454685099846392, 0.023041474654377888, 0.0355862775217614, 0.023041474654377888, 0.023041474654377888, 0.028417818740399392, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.037378392217101895, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888]",this update is horrible my video quality has went down since this update,"[0.025974025974025983, 0.03607503607503609, 0.04415584415584418, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.04213564213564214, 0.027994227994228005, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005, 0.04213564213564214, 0.027994227994228005, 0.027994227994228005, 0.03001443001443002, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005, 0.040115440115440125, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983]",0.09246741156717829
