tweet-id,timestamp,likes,replies,retweets,Bug_report,text,comment,margins
1.1120173341626E+018,2019-03-30 15:42:47,0,0,0,1,atuser fix your new release category it is an unorganized mess and jew stuff is already gone whole old album are still there an unorganized mess and jew stuff really make the platform look horrible,"['fix', 'new', 'release', 'category', 'be', 'unorganize', 'mess', 'jew', 'stuff', 'be', 'already', 'go', 'whole', 'old', 'album', 'still', 'unorganized', 'mess', 'jew', 'stuff', 'really', 'make', 'platform', 'look', 'horrible']",0.000101516288198
1.10594622156944E+018,2019-03-13 21:38:21,0,0,0,1,atuser is legit broken todaygues i will spend time on atuser since atuser not broken can not edit adsmaking my job impossible digitalmarketing facebokisdown,"['be', 'legit', 'broken', 'todaygue', 'spend', 'time', 'not', 'break', 'not', 'edit', 'adsmaking', 'job', 'impossible', 'facebokisdown']",0.000131515327547
1.10598948863813E+018,2019-03-14 00:30:17,3,0,0,1,tom bring space back or at least tell atuser how to fix face-on laugh out loud facebokdown,"['tom', 'bring', 'space', 'back', 'least', 'tell', 'fix', 'face', 'laugh', 'loud', 'facebokdown']",0.000502476284832
1.11397268926861E+018,2019-04-05 01:12:40,1,0,1,1,atuser there is a porn video instead of atuser against libertas de paraguay please fix a porn video instead of atuser against libertas de paraguay,"['be', 'porn', 'video', 'instead', 'liberta', 'paraguay', 'fix', 'porn', 'video', 'instead', 'liberta', 'paraguay']",0.001192361593744
1.10590813284328E+018,2019-03-13 19:07:00,0,0,0,1,affecting laptop access a well ops something went wrong f this face-on,"['affect', 'laptop', 'access', 'well', 'op', 'something_went', 'wrong', 'face']",0.001260231453622
1.10589231618994E+018,2019-03-13 18:04:09,0,0,0,,facebokdown menu verifier quid sagisait bien encore dun bug sur face-on et instal ce gif insupportable de mark zuckerberg pour finer la journey encore soul socialmediaurl,"['facebokdown', 'menu', 'verifi', 'quid', 'sagisait', 'bien', 'encore', 'dun', 'bug', 'sur', 'face', 'et', 'instal', 'ce', 'gif', 'insupportable', 'mark_zuckerberg', 'pour', 'finer', 'journey', 'encore', 'soul', 'socialmediaurl']",0.001657311090511
1.10594935282728E+018,2019-03-13 21:50:47,1,0,0,,atuser down bug maintenance statue ce que lon said de la pane gate par atuser url via atuser,"['bug', 'maintenance', 'statue', 'ce', 'que', 'lon', 'say', 'pane', 'gate', 'par']",0.002036331967228
1.10491924922569E+018,2019-03-11 01:37:32,0,0,0,,atuser plo amor de deus a mina midas surinam resolved see bug europe precise disk para trafalgar aim que volta sairi do modo whatsit beta nunc me de problem ma eston extremamente chateau de pender mina midas,"['plo', 'amor', 'mina', 'mida', 'surinam', 'resolve', 'see', 'bug', 'europe', 'precise', 'disk', 'para', 'trafalgar', 'aim', 'que', 'volta', 'sairi', 'do', 'modo', 'beta', 'nunc', 'problem', 'eston', 'extremamente', 'chateau', 'pender', 'mina', 'mida']",0.002875025398861
1.11926715915749E+018,2019-04-19 15:51:00,1,1,0,0,there is some on my tl but i mostly have a snapshot problem you are welcome to add me inkedstego i fucking ridiculous i can not help my url,"['be', 'mostly', 'have', 'snapshot', 'problem', 'welcome', 'add', 'inkedstego', 'fuck', 'ridiculous', 'not', 'help']",0.003707638474978
1.11741036813195E+018,2019-04-14 12:52:46,0,0,0,1,atuser is there a problem with whatsit unable to load using grin or grin intermittent service in cornwall uk,"['be', 'problem', 'unable', 'load', 'use', 'grin', 'grin', 'intermittent', 'service', 'cornwall']",0.003908018037602
1.09843111681644E+018,2019-02-21 03:56:00,0,0,0,0,atuser you basically gave russia all our information you helped cambridge analytical craft the message you made money and looked the other way you are doing money again atuser i hope you are reading this the same applies to you fix this url,"['basically', 'give', 'russia', 'information', 'help', 'cambridge', 'analytical', 'craft', 'message', 'make', 'money', 'look', 'way', 'do', 'money', 'hope', 'read', 'apply', 'fix']",0.003965863699075
