index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13
261436,243844,1,WeChat,,"['bad', 'application', 'want', 'delete', 'account', 'not', 'able', 'delete', 'account', 'long', 'time', 'do', 'not', 'install', 'guy']",2019-02-17,571038,very bad application... and if you want to delete your account you will not be able to delete it unless after very long time.. Do Not install guys,1,very bad application and if you want to delete your account you will not be able to delete your account unless after very long time do not install guy,T A,,
261437,243845,1,WeChat,,"['be', 'useful', 'convince', 'have', 'big', 'size', 'memory', 'forgive', 'poor', 'english', 'be', 'not', 'native', 'language']",2019-02-17,571042,"It is very useful for me ,and very convinced. But it have a big size and memory .（Forgive my poor English, because it is not my native language）",1,it is very useful for me and very convinced but it have a big size and memory forgive my poor english because it is not my native language,Wu Haoqing,,
261438,243846,1,WeChat,,"['would', 'give', 'star', 'reason', 'weight', 'notification', 'be', 'late', 'message', 'be', 'send', 'group', 'message', 'take', 'hour', 'send', 'notification', 'fix', 'problem']",2019-02-16,571041,"I would give 5 stars but some reason my weight notification is late, after a message is sent from a group it took about 2 hours to sent me the notification, please fix this problem",3,i would give star but some reason my weight notification is late after a message is sent from a group a message took about hour to sent me the notification please fix this problem,Wan Chee Chun,,
261440,243848,1,WeChat,,"['stupid', 'application', 'have', 'be', 'try', 'login', 'hour', 'rotate', 'particular', 'event', 'stupid', 'hate', 'application']",2019-02-17,571044,it a very stupid app i have been trying to login for hours now it just rotating three particular event because it very stupid i hate the app,1,it a very stupid application i have been trying to login for hour now it just rotating three particular event because it very stupid i hate the application,Bamidele Louis,,
261443,243851,1,WeChat,,"['be', 'run', 'background', 'often', 'rarely', 'use', 'even', 'get', 'message', 'notification', 'pop', 'be', 'annoying']",2019-02-16,571047,"why is it running in the background so often? I rarely use it or even get message from it, and the notification popping is so annoying",1,why is it running in the background so often i rarely use it or even get message from it and the notification popping is so annoying,Wai Chun Cheong,,
261444,243852,1,WeChat,,"['doe', 'constantly', 'need', 'run', 'turn', 'background', 'datum', 'yet', 'keep', 'go']",2019-02-17,571048,why does it constantly need to run? i turned off background data yet it keeps going,3,why doe it constantly need to run i turned off background data yet it keep going,Gennario Veltaine,,
261445,243853,1,WeChat,,"['not', 'sign', 'day', 'tired', 'wasting', 'datum']",2019-02-17,571049,i cant sign up for days now am tired of wasting data,1,i can not sign up for day now am tired of wasting data,Shokanla Roheema,,
261446,243854,1,WeChat,,"['not', 'able', 'login', 'register', 'help', 'fix']",2019-02-16,571050,not able to login or register. please help or fix,1,not able to login or register please help or fix,Sa O,,
261447,243855,1,WeChat,,"['think', 'be', 'something', 'problem', 'search', 'people', 'response', 'fix', 'response']",2019-02-18,571051,i think there is something problem on my search people.... like no response. Please fix it.,1,i think there is something problem on my search people like no response please fix no response,Jeslyn Xuan,,
261449,243857,1,WeChat,,"['not', 'delete', 'moment', 'post', 'friend']",2019-02-16,571054,why can't we delete the moments post by friends.,1,why can not we delete the moment post by friend,Kc Peh,,
261455,243863,1,WeChat,,"['rubbish', 'not', 'even', 'sign', 'fail', 'security', 'test', 'remove', 'anti', 'virus', 'request', 'be', 'highly', 'suspicious', 'anti', 'virus', 'be', 'right', 'even', 'factory', 'rest', 'phone', 'check', 'work', 'avail', 'afternoon', 'do', 'give']",2019-02-04,571070,"RUBBISH. I can't even sign up because it fails a ""security test"". I removed my antivirus as requested (which is highly suspicious on it's own right) and even factory resetted my phone for this check to work, to no avail. After a while afternoon doing this, I give up",1,rubbish i can not even sign up because it fails a security test i removed my anti-virus a requested which is highly suspicious on my anti-virus is own right and even factory rested my phone for this check to work to no avail after a while afternoon doing this i give up,,,
261456,243864,1,WeChat,,"['isuecanot', 'even', 'get', 'account', 'set', 'chinese', 'client', 'ask', 'download', 'application', 'attempt', 'fail', 'be', 'not', 'recognize', 'local', 'chinese', 'friend', 'have', 'use', 'application', 'year', 'not', 'help', 'person', 'local', 'chinese', 'friend', 'have', 'use', 'application', 'year', 'do', 'not', 'know', 'team', 'be', 'be', 'difficult', 'tough', 'evaluate', 'application', 'not', 'work', 'start', 'look', 'recent', 'star', 'review', 'need', 'fix', 'yesterday']",2019-02-05,571071,"Same issue...can't even get an account set up. A Chinese client asked me to download this app. Both our attempts failed. Her QR code wasnt recognized. Two local Chinese friends who have used the app for years can't help me in person. They don't know what this ""wechat team"" is or why it is so difficult now. Tough to evaluate an app that won't work from the start. By the looks at most of the recent 1 star reviews this needs to be fixed yesterday.",1,same isuecanot even get an account set up a chinese client asked me to download this application both our attempt failed her qr code wasnt recognized two local chinese friend who have used the application for year can not help me in person two local chinese friend who have used the application for year do not know what this what team is or why it is so difficult now tough to evaluate an application that will not work from the start by the look at most of the recent star review this need to be fixed yesterday,,,
