tweet-id,timestamp,likes,replies,retweets,Bug_report,text
1.11865570574825e+18,2019-04-17 23:21:18,0,1,0,,hey there if you are still having trouble please reach out to u here url then select my account login i see an error message when i log in
1.1186525660685e+18,2019-04-17 23:08:49,9,1,1,,i just thought my house was getting broken into and my first instinct was to snapshot emily why
1.11865152009291e+18,2019-04-17 23:04:40,1,0,0,,so bad at replying to people on snapshot not ignoring you just need to sort me life ot xx
1.11864957000159e+18,2019-04-17 22:56:55,0,0,0,,if you would like to subscribe to my premium snapshot hit me up price are fair i post content daily of me just hanging out and in college nothing explicit and ill pretend to be your friend serious dm only
1.11864777353925e+18,2019-04-17 22:49:47,0,0,0,,i have also learned that i am really bad at taking video on my phone i used fucking snapshot to take video of adore is concert in dublin and half of video of adore i am literally missing her head video of adore are also not zoomed at all i am so bloody awkward in the real world
1.11864648054025e+18,2019-04-17 22:44:39,0,0,0,,my memory section on snapshot is kind of broken like i went back to the snap from when i seen jay and bey and it skip past snap
1.11863393144251e+18,2019-04-17 21:54:47,8,0,1,,so to snapshot for having a delete message option i be getting o in trouble
1.11861546506291e+18,2019-04-17 20:41:24,2,0,0,,fortnight couture snapshot and tito are prolific in elementary school and kid simply agent doing all the bad thing parent think parent are the joes were atuser in redder on tuesday to have a very important social medium conversation url
1.11861030536025e+18,2019-04-17 20:20:54,2,4,0,,dm me somewhere or reply to this if you want to add my snapshot may only add friend do not feel bad if i do not add
1.11860826889132e+18,2019-04-17 20:12:48,2,0,0,,snapshot story are better than reality tv i addicted to watching people make bad decision you couldnt make up some of the stuff i have seen lately
1.11860779189842e+18,2019-04-17 20:10:54,1,1,0,,it wasnt in he went to see he or something in after the breakup because calvin posted a snapshot vid laugh out loud just saw the video why was calvin positing bruce after they broke up laugh out loud url
1.11860760283165e+18,2019-04-17 20:10:09,0,0,0,,have the bad conversation via snapshot so there is no record of them to revisit later and feel bad
1.11860716288282e+18,2019-04-17 20:08:25,0,0,0,,well need to look further into this head over to url and select the option that match your issue you will be able to enter detail about what you are experiencing and submit a ticket at the end of the form
1.11860442544511e+18,2019-04-17 19:57:32,10,1,0,,starbuck story time so after tonic broke up with me over snapshot during class the day before my birthday i decided to go to starbuck and i was sobbing the whole way like inconsolably blubbering i try to get the whole way like inconsolably blubbering together but i can not so i just go into the shop since me
1.11860120361973e+18,2019-04-17 19:44:44,0,1,0,,hey atuser there seems to be some problem with your ad audience you are displaying this ad in india atuser atuser atuser
1.11859087614442e+18,2019-04-17 19:03:41,0,0,0,,overheard conversation between guy while waiting for class to start hey guy name do you have snapshot yeah but i do not have my phone with me cause i broke it whats your snapshot name oh i do not know it hshdjdjdjs it got real awkward url
1.11858919351561e+18,2019-04-17 18:57:00,0,0,0,,really bad idea your twitter will be just to advertise your premium snapshot like a lot of profile
1.11858437702857e+18,2019-04-17 18:37:52,5,0,0,,a i believe there still is hope but hope need to do what snapshot did with sham and incorporate hope into a popular application people want easy access when downloading a qr code but downloading an additional application to read hope creates a bad user experience adwekchaturl
1.11857945895541e+18,2019-04-17 18:18:19,4,0,0,,there should be a way to tell snapshot you broke up with someone so you do not keep seeing memory of them
1.11857409355966e+18,2019-04-17 17:57:00,3,0,0,,subscribe to my premium snapshot the post are the same i adjust really fucking broke url
1.11857166203788e+18,2019-04-17 17:47:20,0,1,0,,its horrible but you get use to its
1.11857101067516e+18,2019-04-17 17:44:45,1,0,0,,hey jai what seems to be the trouble can you dm u with more info so we can look into this
1.11856652348285e+18,2019-04-17 17:26:55,3,4,1,,time for another poll guy who the most fun to hang out with winner get a feature length story on snapshot
1.11856512890614e+18,2019-04-17 17:21:23,42,0,2,,how are you gon na post about your girlfriend on your story and then slide into my snapshot message le than minute later calling me beautiful and asking to hangstraight white men are really on another level of bold huh
1.11856253819365e+18,2019-04-17 17:11:05,1,1,0,,yeah i get stand they really should trust face-on or ig i used to hang out w people who pretty much exclusively used snapshot and i just never got into snapshot
