index,tweet-id,timestamp,text,app_name,comment,bug_report,topic_distribution
0,1097553534558572545,2019-02-18 17:48:48,hi i amhaving a problem with my whatsapi can not reply to anyone is message just get the circle going round and round then it stop it use to work fine i have reinstalled it countless time and have not been blocked any suggestion what is wrong with it,whatsapp,"['be', 'have', 'problem', 'whatsapp', 'can', 'not', 'reply', 'anyone', 'message', 'get', 'circle', 'go', 'round', 'round', 'stop', 'use', 'work', 'fine', 'have', 'reinstall', 'countless', 'time', 'have', 'not', 'be', 'block', 'suggestion', 'whats_wrong']",1,"[0.03624733475479745, 0.04951433309642266, 0.021321961620469083, 0.02298033641317224, 0.02298033641317224, 0.02961383558398484, 0.03293058516939113, 0.021321961620469083, 0.03624733475479745, 0.021321961620469083, 0.024638711205875383, 0.02298033641317224, 0.021321961620469083, 0.027955460791281694, 0.04951433309642266, 0.021321961620469083, 0.037905709547500596, 0.027955460791281687, 0.05117270788912581, 0.02298033641317224, 0.039564084340203746, 0.021321961620469083, 0.022980336413172237, 0.02298033641317224, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.034588959962094296, 0.022980336413172237, 0.021321961620469083, 0.05117270788912581, 0.029613835583984838, 0.022980336413172237, 0.021321961620469083, 0.02298033641317224]"
1,1097437985451192321,2019-02-18 10:09:39,web whatsap has not worked for day and your troubleshooting guideline did not solve the problem help please,whatsapp,"['web', 'whatsapp', 'have', 'not', 'work', 'day', 'troubleshoot', 'guideline', 'do', 'not', 'solve', 'problem', 'help', 'please']",1,"[0.02463054187192117, 0.02463054187192117, 0.03995621237000545, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.0265462506841817, 0.02463054187192117, 0.02463054187192117, 0.026546250684181705, 0.026546250684181705, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.036124794745484384, 0.02463054187192117, 0.04187192118226599, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.02463054187192117, 0.05911330049261083, 0.02463054187192117, 0.02463054187192117, 0.039956212370005455, 0.04378762999452653, 0.02463054187192117, 0.02463054187192117, 0.04187192118226599]"
2,1091354724610170880,2019-02-01 15:16:57,my phone no is banned from using whatsap please help i am in trouble,whatsapp,"['phone', 'be', 'ban', 'use', 'whatsapp', 'help', 'trouble']",1,"[0.026455026455026443, 0.026455026455026443, 0.02851263962375072, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.028512639623750727, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.053203997648442074, 0.028512639623750727, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.03468547912992356, 0.026455026455026443, 0.032627865961199286, 0.02851263962375072, 0.026455026455026443, 0.030570252792475, 0.026455026455026443, 0.02851263962375072, 0.04497354497354496, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443]"
3,1091193648144764928,2019-02-01 04:36:53,my friend got hacked and the hacker locked u out of our group and now they are asking me for help in broken chinese what can i do,whatsapp,"['friend', 'get', 'hack', 'hacker', 'lock', 'group', 'be', 'ask', 'help', 'break', 'chinese', 'do', 'pic_twitter', 'com', 'wzbujcsdk']",1,"[0.02506265664160402, 0.062099693678641085, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.027011974380395445, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.028961292119186865, 0.0640490114174325, 0.04455583402951826, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.04065719855193541, 0.02506265664160402, 0.027011974380395445, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402]"
4,1099011756729470977,2019-02-22 18:23:16,my whatsap is not working well when i have a voice call everything is ok but if i open loud speaker my microphone will not respond and they will not hear me until i close the loud speaker same problem with video call,whatsapp,"['whatsapp', 'be', 'not', 'work', 'well', 'have', 'voice', 'call', 'everything', 'be', 'ok', 'open', 'loud', 'speaker', 'microphone', 'not', 'respond', 'hear', 'close', 'loud', 'speaker', 'problem', 'video', 'call']",1,"[0.02164502164502164, 0.02164502164502164, 0.046897546897546896, 0.02164502164502164, 0.02164502164502164, 0.03679653679653679, 0.05868205868205868, 0.02164502164502164, 0.02164502164502164, 0.03511303511303511, 0.02164502164502164, 0.02164502164502164, 0.02332852332852332, 0.02164502164502164, 0.025012025012025006, 0.03342953342953342, 0.02164502164502164, 0.02164502164502164, 0.02164502164502164, 0.02164502164502164, 0.02164502164502164, 0.02164502164502164, 0.02164502164502164, 0.02164502164502164, 0.02501202501202501, 0.023328523328523323, 0.02164502164502164, 0.03679653679653679, 0.02332852332852332, 0.02164502164502164, 0.03679653679653679, 0.10750360750360749, 0.03342953342953343, 0.02164502164502164, 0.02164502164502164]"
5,1098998020136329216,2019-02-22 17:28:41,there is bug in the application whats call are declining automatically without connecting,whatsapp,"['be', 'bug', 'application', 'whatts', 'call', 'decline', 'automatically', 'connect']",1,"[0.025510204081632633, 0.025510204081632633, 0.031462585034013585, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.039399092970521514, 0.03741496598639454, 0.025510204081632633, 0.03344671201814056, 0.025510204081632633, 0.035430839002267546, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.03939909297052152, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.0294784580498866, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.0294784580498866, 0.04336734693877548, 0.025510204081632633, 0.04336734693877548, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633]"
6,1093159344051343361,2019-02-06 14:47:52,seems like a small bug in your status the time displayed for the status reset itself randomly and start displaying just now,whatsapp,"['seem', 'small', 'bug', 'status', 'time', 'display', 'status', 'reset', 'randomly', 'start', 'display', 'pic_twitter', 'com', 'vlwlqa', 'yfj']",1,"[0.023809523809523805, 0.03306878306878307, 0.023809523809523805, 0.023809523809523805, 0.023809523809523805, 0.023809523809523805, 0.023809523809523805, 0.023809523809523805, 0.023809523809523805, 0.023809523809523805, 0.023809523809523805, 0.023809523809523805, 0.02751322751322751, 0.023809523809523805, 0.023809523809523805, 0.023809523809523805, 0.023809523809523805, 0.042328042328042326, 0.03306878306878306, 0.023809523809523805, 0.023809523809523805, 0.023809523809523805, 0.02566137566137566, 0.058994708994708996, 0.023809523809523805, 0.03677248677248677, 0.023809523809523805, 0.025661375661375656, 0.0552910052910053, 0.04232804232804231, 0.036772486772486755, 0.02566137566137566, 0.03306878306878306, 0.023809523809523805, 0.023809523809523805]"
7,1093071728551608320,2019-02-06 08:59:43,hi i have problem in the watsap,whatsapp,"['have', 'problem', 'watsapp']",1,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279626, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.029609279609279626, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04242979242979245, 0.027472527472527482]"
8,1091788452809658370,2019-02-02 20:00:26,two new future if added for group admins will be perfect the ability to shut up user so they can see what is in the group but they can not type the ability to delete someone else message from the group so if someone said something bad admin can delete it,whatsapp,"['new', 'future', 'add', 'group', 'admin', 'perfect', 'ability', 'shut', 'user', 'see', 's', 'group', 'can', 'not', 'type', 'ability', 'delete', 'someone', 'else', 'message', 'group', 'someone', 'say', 'something', 'bad', 'admin', 'delete']",1,"[0.021321961620469083, 0.13740819710968966, 0.021321961620469083, 0.03624733475479745, 0.032930585169391145, 0.02298033641317224, 0.021321961620469083, 0.021321961620469083, 0.02961383558398484, 0.022980336413172237, 0.024638711205875387, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.03458895996209429, 0.031272210376687995, 0.021321961620469083, 0.021321961620469083, 0.031272210376687995, 0.032930585169391145, 0.02298033641317224, 0.024638711205875383, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.021321961620469083, 0.03293058516939114, 0.021321961620469083, 0.024638711205875387, 0.05117270788912581, 0.022980336413172237]"
9,1091634438851694592,2019-02-02 09:48:26,i can not view other is status co it doe not show on my application but others can view mine whats the problem,whatsapp,"['can', 'not', 'view', 'other', 'cos', 'do', 'not', 'show', 'app', 'other', 'view', 's', 'problem']",1,"[0.031462585034013585, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.045351473922902466, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.035430839002267546, 0.025510204081632633, 0.03344671201814056, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.03939909297052152, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.061224489795918345, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.03543083900226754, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.0294784580498866, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633]"
