,tweet-id,timestamp,likes,replies,retweets,text
137,1115292934490865664,2019-04-08 16:38:51,1,0,0,a much a want to love atuser something about the code is broken the video section of the page i manage is broken and has been for week latest video do not show up in the video library despite appearing on the wall video do not appear in playlist view count missing disgusted
138,1115282573725511681,2019-04-08 15:57:41,0,0,0,atuser really broke my heart was watching a damn good video and your page reloaded ask the front end to coordinate with the user emotion please
139,1115252671320068097,2019-04-08 13:58:51,0,1,0,atuser so you ban me for saying men are trash but god forbid someone degrades a woman and a woman get no shit for it fix your fucking system
140,1115249490074714113,2019-04-08 13:46:13,0,0,0,atuser atuser face-on i want you to know i sincerely hate the new version of the application for android the profile side and the post side you open the application and the application is confusing the application is cluttered the application is error prone the application nag you do more on profile need foot this that it is junk
141,1115230329156059136,2019-04-08 12:30:05,0,0,0,atuser hat ein problem das eine unternehmen deben expertise smart software ist am end night anders einflt al manuel fliebandarbeit um e zu len zest imho von complete hilflosigkeit und kontrolverlust ber da system hatespechurl
142,1115223973128736768,2019-04-08 12:04:49,0,0,0,atuser hey guy their is an bug in the mobile application whenever i open memory via notification and select any memory with many picture in it it doe not open and application lashing please look into it
143,1115215157574037504,2019-04-08 11:29:47,0,0,0,you blocked gabriele dufour for day because i spoke the truth on face-on and never said a bad word it prof you discriminate woman by this action i had bought many time item for my game fairmile in the past well rest assure i will never buy anything from you ever again url
144,1115206100721082368,2019-04-08 10:53:48,0,0,0,atuser i have surviving this problem please solved url
145,1115181627683102721,2019-04-08 09:16:33,0,0,0,atuser please help me with this issue coz it is already day atuser
146,1115174642459729920,2019-04-08 08:48:48,1,0,0,atuser when your email and face-on are both hacked you are left without any option face-on fail to help at all i view this a a cyber crime a friend have received message from the fake me asking for bank detail etc they have also received abusive message when will this stop
147,1115123492591038464,2019-04-08 05:25:33,1,0,1,atuser my news feed is broken my news feed only load about post from my friend and doe load anymore post i really need help solving this issue this issue frustrating please help
168,1115121138328166400,2019-04-08 05:16:11,0,0,0,i have intermittent connection since march up to the present for almost month already and i wonder why your technical support group could not completely resolve this problem and i set private message to your into a well a screen shot of no internet of my scan
169,1115102396080779266,2019-04-08 04:01:43,0,0,0,here is an idea fix the damn problem you have first before creating more
170,1115075925018726400,2019-04-08 02:16:32,0,0,0,atuser i reported a bug my face-on page disappeared and i have lost all my photoshop but you have never replied could you please help me
171,1115068849949425665,2019-04-08 01:48:25,0,0,0,atuser fix the ap pls fix the ap pls atuser you need to fix the he ap atuser this paint even funny no more brush atuser
172,1115057198244212736,2019-04-08 01:02:07,6,1,0,atuser did you know atuser is disabling random people face-on account without notice or cause and neglect to respond back or to even fix the situation i have sent upwards of appeal to them and have yet to receive anything of significance back them do not deserve
173,1115055224002105344,2019-04-08 00:54:16,0,0,0,atuser why can not i post anything i do not have a ban or anything anyone else having this problem
174,1115051764615507968,2019-04-08 00:40:32,0,0,0,atuser atuser completely frustrated on posting to itv is there something missing in my setting on my phone or on instagram application or itv application nedsomehelp
175,1115050336513810432,2019-04-08 00:34:51,2,0,2,atuser announces new privacy rule since they broke all the old one atuser atuser la url
