,tweet-id,timestamp,likes,replies,retweets,text
2035,1118655705748254720,2019-04-17 23:21:18,0,1,0,hey there if you are still having trouble please reach out to u here url then select my account login i see an error message when i log in
2036,1118652566068498433,2019-04-17 23:08:49,9,1,1,i just thought my house was getting broken into and my first instinct was to snapshot emily why
2037,1118651520092913665,2019-04-17 23:04:40,1,0,0,so bad at replying to people on snapshot not ignoring you just need to sort me life ot xx
2038,1118650261650587648,2019-04-17 22:59:40,2,0,0,ah ma bad forgot to check titter stock instagram story are the new snapshot laugh out loud
2039,1118649570001588226,2019-04-17 22:56:55,0,0,0,if you would like to subscribe to my premium snapshot hit me up price are fair i post content daily of me just hanging out and in college nothing explicit and ill pretend to be your friend serious dm only
2040,1118647773539254272,2019-04-17 22:49:47,0,0,0,i have also learned that i am really bad at taking video on my phone i used fucking snapshot to take video of adore is concert in dublin and half of video of adore i am literally missing her head video of adore are also not zoomed at all i am so bloody awkward in the real world
2041,1118646480540246017,2019-04-17 22:44:39,0,0,0,my memory section on snapshot is kind of broken like i went back to the snap from when i seen jay and bey and it skip past snap
2042,1118633931442511873,2019-04-17 21:54:47,8,0,1,so to snapshot for having a delete message option i be getting o in trouble
2043,1118615465062912000,2019-04-17 20:41:24,2,0,0,fortnight couture snapshot and tito are prolific in elementary school and kid simply agent doing all the bad thing parent think parent are the joes were atuser in redder on tuesday to have a very important social medium conversation url
2044,1118613258884325377,2019-04-17 20:32:38,29,3,4,people ruin relationship bad decision ruin relationship snapshot has not ruined a single relationship we all need to start using language that accepts not deflects responsibility url
2045,1118610305360252934,2019-04-17 20:20:54,2,4,0,dm me somewhere or reply to this if you want to add my snapshot may only add friend do not feel bad if i do not add
2046,1118608268891316224,2019-04-17 20:12:48,2,0,0,snapshot story are better than reality tv i addicted to watching people make bad decision you couldnt make up some of the stuff i have seen lately
2047,1118607791898415105,2019-04-17 20:10:54,1,1,0,it wasnt in he went to see he or something in after the breakup because calvin posted a snapshot vid laugh out loud just saw the video why was calvin positing bruce after they broke up laugh out loud url
2048,1118607602831650816,2019-04-17 20:10:09,0,0,0,have the bad conversation via snapshot so there is no record of them to revisit later and feel bad
2049,1118607162882822144,2019-04-17 20:08:25,0,0,0,well need to look further into this head over to url and select the option that match your issue you will be able to enter detail about what you are experiencing and submit a ticket at the end of the form
2050,1118604425445113862,2019-04-17 19:57:32,10,1,0,starbuck story time so after tonic broke up with me over snapshot during class the day before my birthday i decided to go to starbuck and i was sobbing the whole way like inconsolably blubbering i try to get the whole way like inconsolably blubbering together but i can not so i just go into the shop since me
2051,1118602445041565697,2019-04-17 19:49:40,0,1,0,atuser help please this started happening about month ago and i have no clue how i am supposed to fix this could not find anything online either url
2052,1118601203619729408,2019-04-17 19:44:44,0,1,0,hey atuser there seems to be some problem with your ad audience you are displaying this ad in india atuser atuser atuser
2053,1118593344437981184,2019-04-17 19:13:30,0,0,0,hm well need to look further into this head over to url and select the option that match your issue you will be able to enter detail about what you are experiencing and submit a ticket at the end of the form
2074,1118593046961115136,2019-04-17 19:12:19,0,1,0,if your big w snapshot and like the self camera is like i do not know it kind of look like an android camera but like using it to take picture with portrait is fine but it pretty glitch still peacetime always fuck up and it freeze a take a really long time to charge
2075,1118590876144418817,2019-04-17 19:03:41,0,0,0,overheard conversation between guy while waiting for class to start hey guy name do you have snapshot yeah but i do not have my phone with me cause i broke it whats your snapshot name oh i do not know it hshdjdjdjs it got real awkward url
2076,1118589193515614208,2019-04-17 18:57:00,0,0,0,really bad idea your twitter will be just to advertise your premium snapshot like a lot of profile
2077,1118584377028567041,2019-04-17 18:37:52,5,0,0,a i believe there still is hope but hope need to do what snapshot did with sham and incorporate hope into a popular application people want easy access when downloading a qr code but downloading an additional application to read hope creates a bad user experience adwekchaturl
2078,1118579458955411458,2019-04-17 18:18:19,4,0,0,there should be a way to tell snapshot you broke up with someone so you do not keep seeing memory of them
2079,1118578380482412545,2019-04-17 18:14:02,56,5,0,day ago i started a snapshot streak with some of my student to better understand importance some of my student feel of maintaining such a thing with some of my student friend today day later a snapshot streak with some of my student got broken and its kind of tilt laugh out loud
2080,1118574093559664640,2019-04-17 17:57:00,3,0,0,subscribe to my premium snapshot the post are the same i adjust really fucking broke url
2081,1118571662037876737,2019-04-17 17:47:20,0,1,0,its horrible but you get use to its
2082,1118571010675154944,2019-04-17 17:44:45,1,0,0,hey jai what seems to be the trouble can you dm u with more info so we can look into this
2083,1118566523482853377,2019-04-17 17:26:55,3,4,1,time for another poll guy who the most fun to hang out with winner get a feature length story on snapshot
2084,1118565128906137601,2019-04-17 17:21:23,42,0,2,how are you gon na post about your girlfriend on your story and then slide into my snapshot message le than minute later calling me beautiful and asking to hangstraight white men are really on another level of bold huh
2085,1118562538193653762,2019-04-17 17:11:05,1,1,0,yeah i get stand they really should trust face-on or ig i used to hang out w people who pretty much exclusively used snapshot and i just never got into snapshot
2086,1118561577190424576,2019-04-17 17:07:16,1,2,0,i think the main thing i learned in the last few year is not to hang out with people who use snapshot other lesson
2087,1118547724570378240,2019-04-17 16:12:13,0,2,0,scroll to the bottom where it asks need help with something else click yes a text box will open for you to enter detail of the issue hope this help
2088,1118545863071207424,2019-04-17 16:04:49,0,0,0,bug report for you not a programmer no idea what could be causing it or how to fix it but snapshot seems to be the center of most of my crash on uncover no tweak installed affecting snap but of my crash happen when randomly sending a snap or opening a story
